figure_file,slide_or_panel,original_text,revised_text,issue_type,evidence_level,source_evidence,reviewer_risk_before,reviewer_risk_after,notes
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 1,"Machanistic
relevance","Mechanistic
relevance",spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 1,"TierI
features","Tier I
features",spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 1,"SCFAS and
Butyrate-producing
bacteria","SCFAs and
Butyrate-producing
bacteria",spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 1,Bile acid matabolism,Bile acid metabolism,spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 1,Higher disease activilty,Higher disease activity,spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 1,"Conbergent metabolome/
Function signal","Convergent metabolome/
Function signal",spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 1,0.896,0.894,numeric consistency,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Major,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 1,"External validation
ST001000
UC vs Control","Summary-level projection
ST001000
UC vs Control",ST001000 claim downgrade,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Major,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 3,Studys ,Studies ,spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 3,"Recods assessed in full text after deduplication and retrieval
(n=4295)","Records assessed in full text after deduplication and retrieval
(n=4295)",spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
