task,locked_feature_id,locked_feature_name,locked_HMDB,locked_KEGG,locked_mz,locked_RT,locked_adduct,locked_coefficient,st001000_feature_id,st001000_feature_name,st001000_HMDB,st001000_KEGG,st001000_mz,st001000_RT,st001000_adduct,match_type,match_confidence,matched_yes_no,unmatched_reason,manual_review_yes_no,included_in_projection,source_locked_model_file,source_st001000_file,notes
nonIBD vs IBD,HILp_QI1332,,,,137.0955,1.84,,-0.1458024956606849,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,C18n_QI10504,,,,510.3222,11.89,,0.1296584281688421,C18-neg_Cluster_1648,510.322_11.73,,,510.322,11.73,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001880_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
nonIBD vs IBD,HILp_TF15,pyridoxine,HMDB00239,,170.0815,5.94,,0.1231582706131909,170.0804_5.92,170.0804_5.92,,,170.0804,5.92,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001878_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
nonIBD vs IBD,C18n_QI35,arachidonate,HMDB01043,,303.2333,13.93,,0.121260244594222,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,C18n_QI10930,,,,524.302,10.34,,0.1133306893363446,C18-neg_Cluster_1718,524.3011_10.22,,,524.3011,10.22,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001880_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
nonIBD vs IBD,HILp_QI3932,,,,198.0754,4.07,,-0.1132075713335137,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI13176,,,,455.188,5.83,,-0.1110496937822912,455.1867_5.95,455.1867_5.95,,,455.1867,5.95,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001878_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
nonIBD vs IBD,C18n_QI10987,,,,526.3171,10.34,,0.1104248295113176,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI12815,,,,439.1654,2.83,,0.1089445327464727,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI6458,,,,254.1492,6.05,,0.10677678153486,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
