task,locked_feature_id,locked_feature_name,unmatched_reason,identifier_available_in_locked_model,identifier_available_in_st001000,candidate_st001000_features_checked,manual_review_needed,notes
nonIBD vs IBD,HILp_QI1332,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,C18n_QI35,arachidonate,feature_absent_in_ST001000,feature_id;name;HMDB;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2121,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI3932,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,C18n_QI10987,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2121,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI12815,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI6458,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI22759,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,C18n_QI709,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2121,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI23185,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILn_QI5076,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILn_QI1594,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILn_QI2948,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI12132,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,C18n_QI1325,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2121,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI18579,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,C8p_QI28914,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2316,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI19479,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILn_QI20568,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
