feature_id,feature_name,omics_type,feature_list_role,source_file,in_strict_coefficient_table,notes
microbiome::microbe__cholic_acid-C14:0,cholic_acid-C14:0,integrated_early_fusion,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_integrated_A_IBD_vs_HC.pkl,True,Recovered from integrated early-fusion model artifact.
microbiome::microbe__hydroxy_stearic_acid-C18:1,hydroxy_stearic_acid-C18:1,integrated_early_fusion,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_integrated_A_IBD_vs_HC.pkl,True,Recovered from integrated early-fusion model artifact.
metabolome::metabolite__DepthorAltitudeMeters,DepthorAltitudeMeters,integrated_early_fusion,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_integrated_A_IBD_vs_HC.pkl,True,Recovered from integrated early-fusion model artifact.
metabolome::metabolite__cholic_acid-C14:0,cholic_acid-C14:0,integrated_early_fusion,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_integrated_A_IBD_vs_HC.pkl,True,Recovered from integrated early-fusion model artifact.
metabolome::metabolite__hydroxy_stearic_acid-C18:1,hydroxy_stearic_acid-C18:1,integrated_early_fusion,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_integrated_A_IBD_vs_HC.pkl,True,Recovered from integrated early-fusion model artifact.
microbe__Reads_number,Reads_number,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.6.4.12,EC:3.6.4.12,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:2.7.7.7,EC:2.7.7.7,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:2.7.13.3,EC:2.7.13.3,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:5.2.1.8,EC:5.2.1.8,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:1.6.5.3,EC:1.6.5.3,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.2.1.23,EC:3.2.1.23,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.1.21.3,EC:3.1.21.3,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:2.1.1.72,EC:2.1.1.72,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:5.99.1.2,EC:5.99.1.2,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.2.1.21,EC:3.2.1.21,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:2.7.7.6,EC:2.7.7.6,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:1.97.1.4,EC:1.97.1.4,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.5.1.28,EC:3.5.1.28,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.4.16.4,EC:3.4.16.4,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.6.3.14,EC:3.6.3.14,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.2.1.51,EC:3.2.1.51,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:5.99.1.3,EC:5.99.1.3,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:2.2.1.6,EC:2.2.1.6,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.2.1.52,EC:3.2.1.52,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:6.3.5.5,EC:6.3.5.5,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:1.2.7.3,EC:1.2.7.3,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:5.4.99.23,EC:5.4.99.23,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:2.7.1.11,EC:2.7.1.11,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:2.7.6.5,EC:2.7.6.5,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:5.4.2.12,EC:5.4.2.12,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.4.21.89,EC:3.4.21.89,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:1.1.1.100,EC:1.1.1.100,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.1.3.18,EC:3.1.3.18,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:2.7.11.1,EC:2.7.11.1,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:2.2.1.1,EC:2.2.1.1,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:4.2.1.20,EC:4.2.1.20,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:6.3.1.2,EC:6.3.1.2,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:1.4.1.14,EC:1.4.1.14,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:1.4.1.13,EC:1.4.1.13,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:4.2.1.35,EC:4.2.1.35,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:4.2.1.33,EC:4.2.1.33,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.6.1.27,EC:3.6.1.27,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:4.1.1.3,EC:4.1.1.3,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.6.3.17,EC:3.6.3.17,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:2.7.1.69,EC:2.7.1.69,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:3.1.26.4,EC:3.1.26.4,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:6.1.1.20,EC:6.1.1.20,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:4.1.2.13,EC:4.1.2.13,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
microbe__EC:2.7.2.4,EC:2.7.2.4,microbiome,strict_model_feature,<PROJECT_ROOT>/Trajectory Modeling/IBD_EMSA_v1/best_microbiome_A_IBD_vs_HC.pkl,True,Recovered from logistic model artifact.
