feature_id,feature_name,omics_type,coefficient,intercept,scaling_mean,scaling_sd,model_task,recoverable_status,notes
HILp_QI1332,HILp_QI1332,metabolome,-0.1458024956606849,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI10504,C18n_QI10504,metabolome,0.1296584281688421,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_TF15,HILp_TF15,metabolome,0.1231582706131909,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI35,C18n_QI35,metabolome,0.121260244594222,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI10930,C18n_QI10930,metabolome,0.1133306893363446,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI3932,HILp_QI3932,metabolome,-0.1132075713335137,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI13176,HILp_QI13176,metabolome,-0.1110496937822912,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI10987,C18n_QI10987,metabolome,0.1104248295113176,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI12815,HILp_QI12815,metabolome,0.1089445327464727,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI6458,HILp_QI6458,metabolome,0.10677678153486,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI22759,HILp_QI22759,metabolome,-0.1041722864232517,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI709,C18n_QI709,metabolome,0.1023478207081251,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI23185,HILp_QI23185,metabolome,-0.1008239433486578,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI5076,HILn_QI5076,metabolome,-0.0998635762759237,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI1594,HILn_QI1594,metabolome,0.0985078154151802,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI2948,HILn_QI2948,metabolome,-0.092923881275313,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI12132,HILp_QI12132,metabolome,-0.0920566169160329,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI1325,C18n_QI1325,metabolome,0.0861275234449549,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI18579,HILp_QI18579,metabolome,0.086066438017376,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
