feature_id,feature_name,omics_type,coefficient,intercept,scaling_mean,scaling_sd,model_task,recoverable_status,notes
microbiome::microbe__cholic_acid-C14:0,cholic_acid-C14:0,integrated_early_fusion,,,0.1716205759559479,0.2991733548605022,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
microbiome::microbe__hydroxy_stearic_acid-C18:1,hydroxy_stearic_acid-C18:1,integrated_early_fusion,,,0.4665413715307324,0.3251476356077654,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
metabolome::metabolite__DepthorAltitudeMeters,DepthorAltitudeMeters,integrated_early_fusion,,,2.592035748735855,0.234273694589164,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
metabolome::metabolite__cholic_acid-C14:0,cholic_acid-C14:0,integrated_early_fusion,,,0.1716205759559479,0.2991733548605022,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
metabolome::metabolite__hydroxy_stearic_acid-C18:1,hydroxy_stearic_acid-C18:1,integrated_early_fusion,,,0.4665413715307324,0.3251476356077654,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
metabolite__UC5,UC5,metabolome,,,18.29191815039482,1.0,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
metabolite__LFQ.intensity.UC5_rep2,LFQ.intensity.UC5_rep2,metabolome,,,18.285467949993112,1.0,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
metabolite__LFQ.intensity.UC5_rep1,LFQ.intensity.UC5_rep1,metabolome,,,18.27062501336431,1.0,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
metabolite__LFQ.intensity.N5_rep2,LFQ.intensity.N5_rep2,metabolome,,,18.09080074470841,1.0,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
metabolite__UC2,UC2,metabolome,,,18.08763803792251,1.0,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
metabolite__N5,N5,metabolome,,,18.02159028696329,1.0,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
metabolite__N1,N1,metabolome,,,18.008949407881488,1.0,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
metabolite__LFQ.intensity.N4_rep1,LFQ.intensity.N4_rep1,metabolome,,,18.00130940587968,1.0,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
metabolite__LFQ.intensity.N1_rep1,LFQ.intensity.N1_rep1,metabolome,,,17.968124044033626,1.0,nonIBD vs IBD,recovered_or_partial_audit_row,Scaler parameters recovered from model artifact.; intercept_missing
