fresh_candidate_id,omics_type,direct_detected_status,retention_status,retention_reason,trace_status,filter_rule_id
2_2_dimethyladipic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
2_butenoic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
2_furoic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
3_3_hydroxyphenyl_3_hydroxypropanoic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
5_hydroxylysine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
6_carboxyhexanoate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
7_ketolca,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
9_pentadecenoic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
all_cis_4_7_10_13_16_docosapentaenoic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
aminoadipate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
arachidonic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
arginine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
carnitine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
cis_7_10_13_16_docosatetraenoic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
coumaric_acid_4_hydroxycinnamic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
cystine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
decanoic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
eicosapentaenoic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
fructose,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
fumarate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
gdca,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
glutarate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
glycerate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
glycolate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
glycylproline,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
hdca,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
heptanoic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
homocitrulline,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
hydroxyphenyllactic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
hydroxypropionic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
indole_3_acetate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
indole_3_methyl_acetate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
indole_3_propionic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
itaconate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
linolenic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
malate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
maltose_lactose,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
mandelate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__107,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__5-Aminopentanoate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Acetic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Aspartate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Betaine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Bis_2-Ethylhexyl_Phthalate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Butyric_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Cholate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Citrulline,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Creatine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Creatinine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
