task,modality,curve_type,x,y,threshold,fold,positive_class,notes
CD vs UC,metabolome,ROC,0.0,0.0,,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.0,0.00980392156862745,0.9999994274860916,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.0055248618784530384,0.00980392156862745,0.9999957845989096,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.0055248618784530384,0.0196078431372549,0.9999424064587212,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.0055248618784530384,0.029411764705882353,0.9989395563183954,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.011049723756906077,0.029411764705882353,0.9987753762203574,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.011049723756906077,0.0392156862745098,0.9984627294811362,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.011049723756906077,0.049019607843137254,0.9982820232092224,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.011049723756906077,0.058823529411764705,0.9980202183686596,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.016574585635359115,0.058823529411764705,0.9977025874581968,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.022099447513812154,0.058823529411764705,0.9976565641735616,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.027624309392265192,0.058823529411764705,0.9954032608454892,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.027624309392265192,0.06862745098039216,0.9824149543130706,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.03314917127071823,0.06862745098039216,0.9730356508532044,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.03867403314917127,0.06862745098039216,0.963157883381741,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.04419889502762431,0.06862745098039216,0.9574389799370964,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.04419889502762431,0.0784313725490196,0.9547932302771088,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.049723756906077346,0.0784313725490196,0.953108290441968,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.049723756906077346,0.08823529411764706,0.9501552013927408,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.055248618784530384,0.08823529411764706,0.9497916343484348,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.06077348066298342,0.08823529411764706,0.944182330759312,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.06077348066298342,0.09803921568627451,0.9412132104819066,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.06629834254143646,0.09803921568627451,0.9401510236051094,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.06629834254143646,0.10784313725490197,0.9383798524992096,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.06629834254143646,0.11764705882352941,0.9355275693484116,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.0718232044198895,0.11764705882352941,0.93317614175904,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.07734806629834254,0.11764705882352941,0.9236160848857764,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.08287292817679558,0.11764705882352941,0.9141145703081396,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.08287292817679558,0.12745098039215685,0.904010090723532,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.08839779005524862,0.12745098039215685,0.9035894589540254,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.09392265193370165,0.12745098039215685,0.8933358905876074,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.09392265193370165,0.13725490196078433,0.879974016898497,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.09392265193370165,0.14705882352941177,0.8787205580302072,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.09944751381215469,0.14705882352941177,0.8784446004650208,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.10497237569060773,0.14705882352941177,0.867825938690638,pooled_oof,CD,x=FPR y=TPR pooled OOF
