feature_id,feature_label,omics_layer,original_primary_candidate_tier,direct_detected_feature,result_level_evidence_present,n_evidence_records,n_independent_studies,n_direction_coded_records,n_increase_records,n_decrease_records,majority_direction_ratio,n_significant_records,n_significant_independent_studies,median_effect_percentile,best_effect_percentile,disease_context_count,has_activity_or_remission_evidence,has_longitudinal_or_treatment_evidence,mechanism_level,feature_in_locked_model_space,nonzero_coefficient_count,supported_task_count,selection_frequency,primary_axis_support,permutation_supported_modality,evidence_frequency_raw_bin,evidence_frequency_score,direction_raw_bin,direction_score,effect_raw_bin,effect_strength_score,disease_process_raw_bin,disease_process_score,mechanism_raw_bin,mechanism_score,model_raw_bin,model_support_score,conservative_total_score,available_max_score,available_evidence_normalized_score,evidence_completeness,recalculated_manuscript_evidence_tier,tier_match_flag,tier_mismatch_reason,score_source_status,any_absence_defined_zero,any_reconstructed_nonzero,provenance_complete_flag,manual_review_flag
metabolite__Butyric_acid,Butyric acid,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,True,True,303,22,7,1,6,0.857,8,4,0.4565217391304348,1.0,6,True,True,5,True,1,2,0.0,True,True,5,20.0,4,16.0,5,15.0,5,15.0,5,15.0,3,9.0,90.0,100,90.0,1.0,Evidence Tier I,True,,reconstructed_from_project_sources,True,True,True,True
metabolite__Deoxycarnitine,Deoxycarnitine,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,True,True,8,2,0,0,0,,0,0,,,0,False,False,5,True,1,1,0.0,True,True,2,8.0,0,0.0,0,0.0,0,0.0,5,15.0,2,6.0,29.0,100,28.999999999999996,1.0,Evidence Tier I,True,,reconstructed_from_project_sources,True,True,True,True
metabolite__Deoxycholate,Deoxycholate,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,True,True,51,10,0,0,0,,4,3,0.5298507462686567,0.7317073170731707,0,False,False,5,True,1,1,0.0,True,True,5,20.0,0,0.0,3,9.0,0,0.0,5,15.0,2,6.0,50.0,100,50.0,1.0,Evidence Tier I,True,,reconstructed_from_project_sources,True,True,True,True
metabolite__Isobutyric_acid,Isobutyric acid,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,True,True,81,9,0,0,0,,2,2,0.8328511732561877,0.9607843137254902,2,True,True,5,True,1,1,0.0,True,True,5,20.0,0,0.0,5,15.0,2,6.0,5,15.0,2,6.0,62.0,100,62.0,1.0,Evidence Tier I,True,,reconstructed_from_project_sources,True,True,True,True
metabolite__Lysine,Lysine,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,True,True,731,92,25,17,8,0.68,147,34,0.5882352941176471,1.0,6,True,True,5,True,1,1,0.0,True,True,5,20.0,2,8.0,3,9.0,5,15.0,5,15.0,2,6.0,73.0,100,73.0,1.0,Evidence Tier I,True,,reconstructed_from_project_sources,True,True,True,True
metabolite__Phenylacetic_acid,Phenylacetic acid,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,True,True,24,14,0,0,0,,10,7,0.5777777777777777,0.9897959183673469,1,False,True,5,True,1,1,0.0,True,True,5,20.0,0,0.0,3,9.0,1,3.0,5,15.0,2,6.0,53.0,100,53.0,1.0,Evidence Tier I,True,,reconstructed_from_project_sources,True,True,True,True
metabolite__Phenylalanine,Phenylalanine,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,True,True,355,76,4,3,1,0.75,67,27,0.5594468390804598,1.0,6,True,True,5,True,1,1,0.0,True,True,5,20.0,3,12.0,3,9.0,5,15.0,5,15.0,2,6.0,77.0,100,77.0,1.0,Evidence Tier I,True,,reconstructed_from_project_sources,True,True,True,True
metabolite__p-Hydroxyphenylacetic_acid,p-Hydroxyphenylacetic acid,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,True,True,11,2,0,0,0,,2,1,0.8432438192668372,0.9021739130434783,0,False,False,5,True,1,2,0.0,True,True,2,8.0,0,0.0,5,15.0,0,0.0,5,15.0,3,9.0,47.0,100,47.0,1.0,Evidence Tier I,True,,reconstructed_from_project_sources,True,True,True,True
microbe__kSGB_4262:Species:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Ruminococcus_s__Ruminococcus_bicirculans_t__SGB4262__dup7,kSGB_4262:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans|t__SGB4262,microbiome,Tier 3 - gut-omics mechanism/model-supported candidate,True,True,11347,329,595,229,366,0.615,656,55,0.7558441558441559,1.0,6,True,True,5,True,1,1,0.0,False,True,5,20.0,2,8.0,5,15.0,5,15.0,5,15.0,2,6.0,79.0,100,79.0,1.0,Evidence Tier I,True,,reconstructed_from_project_sources,True,True,True,True
metabolome::metabolite__hydroxy_stearic_acid-C18:1,metabolome::metabolite__hydroxy_stearic_acid-C18:1,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,True,True,44,2,0,0,0,,0,0,,,0,False,False,5,True,1,1,0.0,True,True,2,8.0,0,0.0,0,0.0,0,0.0,5,15.0,2,6.0,29.0,100,28.999999999999996,1.0,Evidence Tier I,True,,reconstructed_from_project_sources,True,True,True,True
